City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
129,Arraial Do Cabo,BR,2021-06-02 21:01:09,-22.9661,-42.0278,72.97,86,0,10.63
130,Cayenne,GF,2021-06-02 21:01:09,4.9333,-52.3333,84.24,79,0,5.01
131,Qaqortoq,GL,2021-06-02 21:01:09,60.7167,-46.0333,48.7,83,100,15.66
132,Krasnovishersk,RU,2021-06-02 21:01:10,60.4078,57.082,40.8,62,75,2.53
133,Nanortalik,GL,2021-06-02 21:01:10,60.1432,-45.2371,40.19,82,100,15.37
134,Aykhal,RU,2021-06-02 21:01:10,66.0,111.5,60.35,57,68,5.68
135,Lima,PE,2021-06-02 21:00:00,-12.0432,-77.0282,64.9,81,90,8.05
136,Malm,NO,2021-06-02 21:01:11,64.0721,11.2172,62.44,66,18,3.31
137,Altamira,BR,2021-06-02 20:59:57,-3.2033,-52.2064,87.89,70,40,0.0
138,Naze,JP,2021-06-02 21:01:11,28.3667,129.4833,73.69,90,99,11.79
139,West Bay,KY,2021-06-02 21:01:11,19.3667,-81.4167,83.07,84,39,1.01
140,Havoysund,NO,2021-06-02 21:01:12,70.9963,24.6622,54.48,82,6,8.05
141,Clacton-On-Sea,GB,2021-06-02 21:01:12,51.7897,1.156,67.19,84,40,1.99
142,Passo De Camaragibe,BR,2021-06-02 21:01:12,-9.2368,-35.4901,78.35,83,0,4.56
143,Saint-Augustin,CA,2021-06-02 21:01:13,51.226,-58.6502,61.57,48,41,6.62
144,Saint-Joseph,RE,2021-06-02 21:01:13,-21.3667,55.6167,71.98,80,95,15.46
145,Taksimo,RU,2021-06-02 21:01:13,56.3444,114.8794,53.04,90,100,2.21
146,Kahului,US,2021-06-02 21:01:14,20.8947,-156.47,88.54,62,15,14.0
147,Margate,GB,2021-06-02 21:01:14,51.3813,1.3862,63.88,60,36,5.3
148,Bambous Virieux,MU,2021-06-02 21:01:14,-20.3428,57.7575,76.21,70,68,17.78
149,Tuktoyaktuk,CA,2021-06-02 21:01:15,69.4541,-133.0374,36.0,74,92,9.98
150,Springbok,ZA,2021-06-02 21:01:15,-29.6643,17.8865,51.3,34,6,10.56
151,Hualmay,PE,2021-06-02 21:01:15,-11.0964,-77.6139,67.6,76,78,7.2
152,College,US,2021-06-02 21:01:16,64.8569,-147.8028,64.09,58,90,1.32
153,Puerto Baquerizo Moreno,EC,2021-06-02 21:01:16,-0.9,-89.6,73.49,75,63,14.32
154,Vardo,NO,2021-06-02 21:01:16,70.3705,31.1107,57.4,70,23,4.83
155,Saint-Philippe,RE,2021-06-02 21:01:17,-21.3585,55.7679,72.99,82,99,15.61
156,Shakhovskaya,RU,2021-06-02 21:01:17,56.0283,35.5097,47.64,87,37,7.07
157,Hamilton,US,2021-06-02 20:56:47,39.1834,-84.5333,66.47,96,90,1.01
158,Acajutla,SV,2021-06-02 20:56:50,13.5928,-89.8275,93.79,63,68,8.3
159,San Rafael Del Sur,NI,2021-06-02 21:01:18,11.8485,-86.4384,94.17,37,38,7.78
160,Kyra,RU,2021-06-02 21:01:18,49.5776,111.9753,42.64,96,98,4.63
161,Bam,IR,2021-06-02 21:01:18,29.106,58.357,91.85,7,15,3.71
162,Quatre Cocos,MU,2021-06-02 21:01:19,-20.2078,57.7625,76.08,69,58,17.69
163,Esperance,AU,2021-06-02 21:01:19,-33.8667,121.9,59.32,75,76,7.31
164,Boyolangu,ID,2021-06-02 21:01:19,-8.1181,111.8935,73.29,90,63,1.5
165,Sagua La Grande,CU,2021-06-02 21:01:20,22.8067,-80.0756,84.65,62,75,12.06
166,Ilulissat,GL,2021-06-02 21:01:20,69.2167,-51.1,42.82,56,3,5.75
167,Road Town,VG,2021-06-02 21:00:14,18.4167,-64.6167,83.19,72,100,16.15
168,Richards Bay,ZA,2021-06-02 21:01:20,-28.783,32.0377,60.46,76,20,8.16
169,Nkhotakota,MW,2021-06-02 21:01:21,-12.9274,34.2961,70.12,81,46,2.17
170,Savannakhet,LA,2021-06-02 21:01:21,16.566,104.751,82.29,70,93,5.41
171,Vicuna,CL,2021-06-02 21:01:21,-30.0319,-70.7081,82.78,22,0,2.48
172,Kutina,HR,2021-06-02 21:01:22,45.475,16.7819,62.58,80,16,4.27
173,Khatanga,RU,2021-06-02 21:01:22,71.9667,102.5,34.43,81,99,1.32
174,Tucano,BR,2021-06-02 21:01:22,-10.9631,-38.7867,72.25,92,52,8.66
175,Awbari,LY,2021-06-02 21:01:23,26.5921,12.7805,90.86,15,15,1.63
176,Praya,CV,2021-06-02 21:01:23,14.9215,-23.5087,71.85,83,15,14.05
177,Kruisfontein,ZA,2021-06-02 21:01:19,-34.0033,24.7314,57.54,85,100,10.98
178,Hobart,AU,2021-06-02 20:59:00,-42.8794,147.3294,55.22,80,0,1.99
179,Le Port,RE,2021-06-02 21:01:23,-20.9373,55.2919,73.4,88,95,9.91
180,Acapulco,MX,2021-06-02 21:01:24,16.8634,-99.8901,89.6,56,87,9.84
181,Ulladulla,AU,2021-06-02 21:01:24,-35.35,150.4667,51.1,64,100,1.79
182,Tuatapere,NZ,2021-06-02 21:01:24,-46.1333,167.6833,49.82,90,47,4.94
183,Alyangula,AU,2021-06-02 21:01:25,-13.8483,136.4192,74.08,79,24,6.78
184,Kysyl-Syr,RU,2021-06-02 21:01:25,63.8986,122.7617,60.19,69,37,4.61
185,Laguna,US,2021-06-02 21:01:25,38.421,-121.4238,103.66,31,1,3.0
186,Garrel,DE,2021-06-02 21:01:26,52.95,8.0167,71.38,81,100,8.95
187,Marsh Harbour,BS,2021-06-02 21:01:26,26.5412,-77.0636,78.26,81,100,17.56
188,Saint-Gilles,FR,2021-06-02 21:01:26,43.6766,4.4302,68.58,77,0,2.3
189,Hukuntsi,BW,2021-06-02 21:01:27,-24.0,21.75,48.47,40,0,6.55
190,Gat,IL,2021-06-02 21:01:27,31.61,34.7642,71.82,62,0,6.62
191,Sweetwater,US,2021-06-02 21:00:18,25.7634,-80.3731,88.02,68,98,1.01
192,Tezu,IN,2021-06-02 21:01:27,27.9167,96.1667,73.0,97,67,3.4
