,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
108,Olinda,-8.0089,-34.8553,78.53,73,40,10.13,BR,scattered clouds
109,Faya,18.3851,42.4509,79.32,15,7,11.9,SA,clear sky
110,Mount Isa,-20.7333,139.5,53.37,76,97,5.75,AU,overcast clouds
111,Natal,-5.795,-35.2094,84.85,58,40,13.89,BR,scattered clouds
112,Butaritari,3.0707,172.7902,82.63,75,100,13.94,KI,overcast clouds
113,Avarua,-21.2078,-159.775,73.45,88,75,5.75,CK,light rain
114,Mehamn,71.0357,27.8492,66.11,70,1,17.54,NO,clear sky
115,Tezu,27.9167,96.1667,76.55,78,100,2.73,IN,overcast clouds
116,Nioro,13.35,-15.75,91.96,34,89,14.03,GM,overcast clouds
117,Hilo,19.7297,-155.09,77.4,74,40,3.44,US,scattered clouds
118,Hobart,-42.8794,147.3294,51.93,64,90,3.0,AU,overcast clouds
119,Kaeo,-35.1,173.7833,52.32,93,58,2.57,NZ,broken clouds
120,Ola,59.5833,151.2833,38.39,94,100,2.86,RU,overcast clouds
121,Pevek,69.7008,170.3133,33.15,75,43,3.04,RU,scattered clouds
122,Hot Springs,34.5037,-93.0552,79.63,56,40,1.01,US,scattered clouds
123,Tamale,9.4008,-0.8393,91.69,41,6,6.08,GH,clear sky
124,Albanel,48.8832,-72.4487,67.98,56,100,19.57,CA,overcast clouds
125,Kijang,35.2442,129.2139,67.73,94,100,2.86,KR,overcast clouds
126,Rio Gallegos,-51.6226,-69.2181,37.45,87,90,4.61,AR,moderate rain
127,Goderich,43.7501,-81.7165,71.2,77,35,5.75,CA,scattered clouds
128,Kemijarvi,66.7131,27.4306,63.27,48,64,7.92,FI,broken clouds
129,Luganville,-15.5333,167.1667,75.38,85,100,7.16,VU,overcast clouds
130,Castro,-24.7911,-50.0119,70.74,71,18,3.87,BR,few clouds
131,Thompson,55.7435,-97.8558,53.76,50,75,4.61,CA,broken clouds
132,Lebu,-37.6167,-73.65,57.25,96,100,6.24,CL,overcast clouds
133,Kununurra,-15.7667,128.7333,66.18,77,42,0.0,AU,scattered clouds
134,Katsuura,35.1333,140.3,72.1,89,100,17.56,JP,light rain
135,Kavieng,-2.5744,150.7967,81.39,80,65,4.97,PG,light rain
136,Tuatapere,-46.1333,167.6833,49.82,89,100,6.93,NZ,overcast clouds
137,Saint George,37.1041,-113.5841,102.67,12,1,1.99,US,clear sky
138,Salamanca,40.8333,-6.0,69.58,49,99,10.27,ES,overcast clouds
139,Souillac,-20.5167,57.5167,75.58,73,40,15.37,MU,light rain
140,Dikson,73.5069,80.5464,30.79,97,100,13.69,RU,overcast clouds
141,Reinheim,49.8269,8.8361,74.34,87,100,3.11,DE,overcast clouds
142,Port Lincoln,-34.7333,135.8667,57.74,83,40,12.82,AU,scattered clouds
143,Lagoa,39.05,-27.9833,61.5,67,17,13.49,PT,few clouds
144,Eureka,40.8021,-124.1637,64.2,78,30,1.01,US,scattered clouds
145,Bambous Virieux,-20.3428,57.7575,75.45,73,40,17.4,MU,light rain
146,Illapel,-31.6308,-71.1653,77.67,33,93,6.06,CL,overcast clouds
147,Pemberton,50.3164,-122.8027,76.69,40,99,5.35,CA,overcast clouds
148,Saint-Philippe,-21.3585,55.7679,72.95,73,39,14.23,RE,scattered clouds
149,Cherskiy,68.75,161.3,61.81,36,77,6.76,RU,broken clouds
150,Khani,41.9563,42.9566,54.97,91,28,2.3,GE,scattered clouds
151,Wajima,37.4,136.9,65.25,85,100,3.51,JP,light rain
152,Auki,-8.7676,160.7034,76.96,88,98,3.96,SB,overcast clouds
153,Tahlequah,35.9154,-94.97,78.26,49,3,1.95,US,clear sky
154,Vila Franca Do Campo,37.7167,-25.4333,64.81,68,94,3.47,PT,overcast clouds
155,Milton,34.1322,-84.3007,86.9,54,100,1.01,US,overcast clouds
156,Pangkalanbuun,-2.6833,111.6167,74.16,93,100,2.51,ID,overcast clouds
157,Nouadhibou,20.931,-17.0347,75.18,57,100,18.41,MR,sand
158,Kampot,10.6167,104.1833,81.01,84,70,5.79,KH,broken clouds
159,Khatanga,71.9667,102.5,31.8,89,100,8.1,RU,overcast clouds
