City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
368,Belmonte,BR,82.9,clear sky,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
369,Les Cayes,HT,84.92,broken clouds,18.2,-73.75,Villa Orphee
370,Cururupu,BR,85.05,moderate rain,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
373,Kalmunai,LK,81.9,overcast clouds,7.4167,81.8167,VS Villa
375,Moses Lake,US,89.96,clear sky,47.1301,-119.2781,Ramada by Wyndham Moses Lake
376,Pacific Grove,US,76.42,scattered clouds,36.6177,-121.9166,Lovers Point Inn
377,Upata,VE,79.2,overcast clouds,8.0086,-62.3989,Posada Villa Nela
378,Portland,US,78.57,few clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
380,Vila Do Maio,CV,79.59,few clouds,15.1333,-23.2167,Hotel Marilu
383,Brus Laguna,HN,85.53,scattered clouds,15.75,-84.4833,
384,Makakilo City,US,80.62,broken clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
385,Praya,CV,79.34,broken clouds,14.9215,-23.5087,LT Aparthotel
387,Florida,US,94.03,overcast clouds,28.7505,-82.5001,Sportsmens Cove
388,Gazli,UZ,93.06,clear sky,40.1333,63.45,
390,Abonnema,NG,84.49,clear sky,4.7084,6.7931,Corper's Lodge Obonoma
391,Barrancabermeja,CO,93.4,scattered clouds,7.0653,-73.8547,Hotel Millenium Barrancabermeja
392,Honiara,SB,77.4,broken clouds,-9.4333,159.95,Heritage Park Hotel
396,Mitu,CO,80.47,broken clouds,1.1983,-70.1733,
400,Quatre Cocos,MU,75.31,light rain,-20.2078,57.7625,Emeraude Beach Attitude Hotel
404,Port Moresby,PG,76.42,haze,-9.4431,147.1797,Lamana Hotel
406,Dingle,PH,76.55,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
407,Iracoubo,GF,80.56,overcast clouds,5.4802,-53.2011,Le Gite D Iracoubo
410,Bhinga,IN,82.45,scattered clouds,27.7167,81.9333,Kakardari office
414,Sao Joao Da Barra,BR,87.89,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
415,Lakhimpur,IN,90.16,clear sky,27.95,80.7667,Hotel Sarna
418,Dzilam Gonzalez,MX,85.95,overcast clouds,21.2833,-88.9333,posadas
419,Bose,IT,75.15,few clouds,45.4612,8.0137,Locanda Borgo Antico
421,Daru,PG,77.54,overcast clouds,-9.0763,143.2092,Daru Lodge
422,Almeirim,BR,86.05,clear sky,-1.5233,-52.5817,Ricácio Hotel
423,Samana,DO,86.22,scattered clouds,19.2056,-69.3369,The Bannister - Hotel & Yacht Club
427,Mayumba,GA,76.77,overcast clouds,-3.432,10.6554,LIKWALE LODGE
428,Salina,US,80.94,clear sky,38.8403,-97.6114,"Holiday Inn Express & Suites Salina, an IHG Hotel"
430,Sur,OM,93.79,clear sky,22.5667,59.5289,Sur Plaza Hotel
431,Lucea,JM,85.86,scattered clouds,18.451,-78.1736,Grand Palladium Jamaica Resort & Spa
434,Bara,NG,84.43,broken clouds,10.3744,10.7288,
439,Hobyo,SO,78.82,overcast clouds,5.3505,48.5268,Halane Hotel and Restaurent
